file_name	commons_title	category	image_url	description_url	artist	license	credit
A_HADZABE_boy_inside_a_Baobab_tree.jpg	File:A HADZABE boy inside a Baobab tree.jpg	Category:Hadza people	https://upload.wikimedia.org/wikipedia/commons/9/98/A_HADZABE_boy_inside_a_Baobab_tree.jpg	https://commons.wikimedia.org/wiki/File:A_HADZABE_boy_inside_a_Baobab_tree.jpg	BrixL	CC BY-SA 4.0	Own work
A_Hadzabe_child_outside_their_home.jpg	File:A Hadzabe child outside their home.jpg	Category:Hadza people	https://upload.wikimedia.org/wikipedia/commons/3/3a/A_Hadzabe_child_outside_their_home.jpg	https://commons.wikimedia.org/wiki/File:A_Hadzabe_child_outside_their_home.jpg	Calvin pro7	CC BY-SA 4.0	Own work
A_Hadzabe_tribe_boy_entering_a_hut.png	File:A Hadzabe tribe boy entering a hut.png	Category:Hadza people	https://upload.wikimedia.org/wikipedia/commons/b/bf/A_Hadzabe_tribe_boy_entering_a_hut.png	https://commons.wikimedia.org/wiki/File:A_Hadzabe_tribe_boy_entering_a_hut.png	Rwebogora	CC BY-SA 4.0	Own work
A_Hadzabe_tribe_boy_near_a_hut_entrance.png	File:A Hadzabe tribe boy near a hut entrance.png	Category:Hadza people	https://upload.wikimedia.org/wikipedia/commons/0/09/A_Hadzabe_tribe_boy_near_a_hut_entrance.png	https://commons.wikimedia.org/wiki/File:A_Hadzabe_tribe_boy_near_a_hut_entrance.png	Rwebogora	CC BY-SA 4.0	Own work
A_hadzabe_tribe_child_standing_infront_of_a_tree_house.jpg	File:A hadzabe tribe child standing infront of a tree house.jpg	Category:Hadza people	https://upload.wikimedia.org/wikipedia/commons/2/20/A_hadzabe_tribe_child_standing_infront_of_a_tree_house.jpg	https://commons.wikimedia.org/wiki/File:A_hadzabe_tribe_child_standing_infront_of_a_tree_house.jpg	Erasmus Kamugisha	CC BY-SA 4.0	Own work
A_hadzabe_tribe_children_standing_infront_of_a_tree_house_door.jpg	File:A hadzabe tribe children standing infront of a tree house door.jpg	Category:Hadza people	https://upload.wikimedia.org/wikipedia/commons/5/55/A_hadzabe_tribe_children_standing_infront_of_a_tree_house_door.jpg	https://commons.wikimedia.org/wiki/File:A_hadzabe_tribe_children_standing_infront_of_a_tree_house_door.jpg	Erasmus Kamugisha	CC BY-SA 4.0	Own work
A_hunter_in_Tanzania.jpg	File:A hunter in Tanzania.jpg	Category:Hadza people	https://upload.wikimedia.org/wikipedia/commons/5/5a/A_hunter_in_Tanzania.jpg	https://commons.wikimedia.org/wiki/File:A_hunter_in_Tanzania.jpg	Arnold Tibaijuka	CC BY-SA 4.0	Own work
A_hunter_in_Tanzania1.jpg	File:A hunter in Tanzania1.jpg	Category:Hadza people	https://upload.wikimedia.org/wikipedia/commons/8/84/A_hunter_in_Tanzania1.jpg	https://commons.wikimedia.org/wiki/File:A_hunter_in_Tanzania1.jpg	Arnold Tibaijuka	CC BY-SA 4.0	Own work
12Z28218e.jpg	File:12Z28218e.jpg	Category:San people	https://upload.wikimedia.org/wikipedia/commons/c/ca/12Z28218e.jpg	https://commons.wikimedia.org/wiki/File:12Z28218e.jpg	Shark studio	CC BY-SA 4.0	Own work
2005_-_Roy_Sesana_Kalahari_1.jpg	File:2005 - Roy Sesana Kalahari 1.jpg	Category:San people	https://upload.wikimedia.org/wikipedia/commons/9/9e/2005_-_Roy_Sesana_Kalahari_1.jpg	https://commons.wikimedia.org/wiki/File:2005_-_Roy_Sesana_Kalahari_1.jpg	Right Livelihood Award Foundation	Attribution	Right Livelihood Award Foundation Archive [1]\n\nTransferred from en.wikipedia by SreeBot
